año_mes;provincia_zona;genero;rubro;Cantidad;remuneracion_Med;remuneracion_prom
40179;Catamarca;Masculino;Litio-Produccion;149;5445,4;5834,01
40179;Jujuy;Femenino;Litio-exploración y financiación;3;5341,67;4814,92
40179;Jujuy;Masculino;Litio-exploración y financiación;14;2225,68;3921,14
40179;Jujuy;Masculino;Litio-Produccion;26;1927,75;2508,9
40179;Mendoza;Femenino;Litio-Produccion;8;8500;7706,25
40179;Mendoza;Masculino;Litio-Produccion;12;10000;8672,04
40179;Salta;Femenino;Litio-exploración y financiación;6;1906,65;2063,96
40179;Salta;Femenino;Litio-Produccion;16;4132,09;5475,83
40179;Salta;Masculino;Litio-exploración y financiación;37;3448,29;3990,09
40179;Salta;Masculino;Litio-Produccion;51;5622,19;6489,31
40210;Catamarca;Femenino;Litio-Produccion;10;10000;8330,85
40210;Catamarca;Masculino;Litio-Produccion;152;10000;8684,58
40210;Jujuy;Femenino;Litio-exploración y financiación;2;6117,78;6117,78
40210;Jujuy;Masculino;Litio-exploración y financiación;14;2496,59;4168,76
40210;Jujuy;Masculino;Litio-Produccion;26;2220;2675,99
40210;Mendoza;Femenino;Litio-Produccion;8;5250;5741,25
40210;Mendoza;Masculino;Litio-Produccion;12;8467,74;8036,29
40210;Salta;Femenino;Litio-exploración y financiación;4;2857,88;2581,55
40210;Salta;Femenino;Litio-Produccion;17;8422,31;7544,28
40210;Salta;Masculino;Litio-exploración y financiación;37;3825,45;3985,69
40210;Salta;Masculino;Litio-Produccion;51;9319,61;8241,94
40238;Catamarca;Femenino;Litio-Produccion;11;4822,32;4898,85
40238;Catamarca;Masculino;Litio-Produccion;152;5363,36;5802,89
40238;Jujuy;Femenino;Litio-exploración y financiación;2;7893,37;7893,37
40238;Jujuy;Femenino;Litio-Produccion;1;1974,62;1974,62
40238;Jujuy;Masculino;Litio-exploración y financiación;14;3128,81;4838,59
40238;Jujuy;Masculino;Litio-Produccion;31;2220;3080,23
40238;Mendoza;Femenino;Litio-Produccion;9;5500;5750
40238;Mendoza;Masculino;Litio-Produccion;13;7500;7176,32
